3001 2 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.10 7.70 53 43 33 34 31 34 38 42 46 36 44 38 41 43 NA NA NA 2 1
3002 2 3 2 8 9 8 9 8 8 9 9 9 9 9.50 9.50 9.50 10.50 8 8 8 8 8 8 10.50 10.50 10.50 9 8 8 9 9 7 9 9 9.00 8.80 39 31 43 32 42 45 35 32 42 39 38 47 41 39 2 2 1 1 1
3005 2 3 3 7 6 5 7 6 7 7 7 6 5 NA NA NA NA 5 6 6 6 5 6 NA NA NA 6 6 7 6 7 6 5 6 7.00 6.30 28 28 29 29 24 28 29 24 31 37 27 25 20 21 3 3 NA 3 3
3007 2 3 2 8 9 9 8 9 9 8 8 9 8 9.50 10.50 9.50 10.50 9 10 7 7 7 8 10.50 10.50 9.50 9 10 8 9 10 8 8 10 9.70 9.60 41 40 37 32 34 41 47 27 37 36 36 47 41 41 2 2 1 1 1
3008 2 3 2 9 9 9 9 9 9 8 8 9 9 10.50 10.50 10.50 10.50 9 9 9 9 9 9 10.50 10.50 10.50 9 9 8 9 8 8 8 8 9.30 9.10 32 28 35 39 39 30 40 48 44 45 47 39 42 43 1 1 1 1 1
3009 2 3 1 7 8 8 7 7 8 7 6 7 8 7.50 8.50 8.50 10.50 8 8 7 8 8 8 8.50 7.50 8.50 8 7 8 7 8 8 7 8 8.50 8.00 39 29 29 27 29 41 32 40 42 43 30 32 32 31 2 2 2 1 3
3010 2 3 2 8 8 NA 8 8 NA 7 9 8 7 8.50 NA NA NA 8 NA 8 8 8 9 10.50 NA NA NA NA 7 8 NA 9 8 NA 8.70 8.40 37 43 37 38 26 28 31 40 37 36 30 37 35 37 2 1 NA 1 2
3012 2 3 2 8 8 9 8 8 9 8 7 7 6 8.50 8.50 8.50 9.50 7 8 8 8 7 7 7.50 8.50 9.50 9 8 9 8 10 8 7 9 8.80 8.60 39 39 35 26 31 43 31 35 44 32 30 35 33 33 2 2 1 1 3
3013 2 3 2 8 8 7 7 7 8 7 6 7 7 7.00 7.00 7.00 7.50 7 8 7 6 8 7 8.50 6.00 7.00 6 6 8 8 NA 8 7 8 7.60 NA 39 32 41 30 39 34 35 38 42 41 40 34 37 37 2 2 2 2 2
3014 2 3 3 8 9 9 8 9 9 9 10 9 9 10.50 10.50 9.50 9.50 7 7 8 9 8 8 9.50 8.00 9.00 8 6 8 9 NA 7 8 8 8.30 8.10 28 28 35 38 34 30 31 37 29 28 28 34 27 28 2 2 1 2 3
