il;p26;p29;p30;p31;p67;p68;p69;p70;p71;p72;p73;p74;p75;p76;p77;p78;p79;p80;p81;p82;p83;p84;p85;p86;p87;p88;p89;p90;p91;p92;p93;p94;p95;p96;p97;p98;p99;p100;p101;p102;p103;p104;p105;p106;p107;p108;p109;p110;p111;p112;p113;p114;p115;p116;p117;p118;p119;p120;p121;p122;p123;p124;p217;p218;p219;p220;p221;p222;p223;p224;p225;p226;koul;amm
1;6;5;11;6;3;2;3;5;2;4;5;5;2;5;2;5;5;2;3;5;5;1;1;5;3;3;1;3;4;4;3;2;1;1;3;1;1;4;1;1;3;2;1;3;3;5;5;5;5;3;5;5;3;4;3;2;3;5;3;5;4;5;2;3;2;2;3;3;3;2;3;2;1;3
1;24;16;11;19;4;3;4;3;4;3;5;4;2;3;1;4;3;4;2;2;4;2;1;5;4;3;3;2;4;3;3;3;2;3;3;2;2;3;2;2;4;2;1;3;3;3;4;5;5;4;4;4;3;3;3;4;4;4;5;3;2;5;2;2;2;3;3;4;4;2;1;2;3;1
1;8;15;15;9;4;2;1;2;4;2;2;4;4;2;4;3;2;1;3;3;2;1;4;2;2;2;3;3;4;3;3;3;2;4;3;3;3;3;3;3;3;4;3;4;2;4;4;5;5;3;3;3;4;3;2;3;3;4;3;5;3;3;2;2;3;2;2;3;3;2;2;3;1;3
2;4;8;11;7;5;2;2;2;2;1;4;5;3;2;5;2;2;2;2;5;3;5;1;5;5;4;1;1;3;3;4;3;3;2;3;1;4;4;2;2;4;2;3;4;1;1;5;1;3;4;3;3;3;3;1;3;1;1;1;3;1;1;1;3;2;1;1;2;2;1;1;1;1;3
2;9;8;11;6;3;2;2;3;2;3;2;2;1;3;3;2;3;3;3;4;4;4;3;2;2;2;4;2;3;3;2;2;4;3;2;3;3;2;4;3;2;3;3;2;3;4;5;4;5;4;4;3;5;5;3;3;3;5;4;4;3;3;2;2;3;2;3;1;1;2;3;3;1;3
2;13;10;11;10;1;3;1;2;2;3;2;5;2;2;4;4;4;2;3;4;4;1;5;1;4;3;2;2;4;2;2;3;4;1;2;3;2;3;1;3;2;3;3;3;2;3;4;3;3;2;3;2;4;4;4;4;3;2;2;3;4;4;3;3;2;3;2;3;2;2;3;2;1;3
2;14;17;13;15;3;2;2;2;3;2;1;4;4;2;4;3;2;2;4;4;3;4;5;1;2;2;4;4;3;4;2;2;4;3;2;3;4;1;2;4;2;3;3;2;4;5;5;4;5;4;5;4;4;4;4;3;4;2;4;4;5;3;2;2;3;1;3;2;1;2;4;3;3;1
3;12;16;7;10;2;2;1;4;2;2;2;4;4;4;5;2;3;4;4;2;2;4;5;2;5;3;3;3;4;2;2;2;4;3;3;2;2;3;2;3;2;3;3;2;4;4;5;5;5;4;5;3;3;5;3;3;3;3;2;3;5;3;2;2;3;2;2;3;3;1;2;2;3;1
3;15;10;9;9;4;2;2;1;4;3;2;2;2;2;4;2;1;5;3;3;2;4;5;1;1;2;1;2;3;3;1;2;4;3;1;2;4;1;1;3;1;1;1;2;4;4;5;4;5;4;5;5;5;5;5;4;3;2;3;4;5;2;2;2;3;1;3;1;1;2;3;3;1;1
3;11;19;13;14;5;2;5;5;5;2;2;5;1;2;4;2;2;2;5;4;2;4;5;1;2;2;3;4;4;3;1;1;4;4;2;3;3;2;3;4;2;4;4;2;4;4;5;5;5;2;4;4;5;5;5;4;3;3;2;3;4;2;2;2;3;2;3;2;2;3;3;4;2;1
2;8;12;9;4;2;2;2;2;2;2;2;4;1;1;5;2;2;2;4;2;2;2;4;2;2;1;3;1;4;4;2;2;4;3;3;3;4;2;1;4;2;3;4;2;4;5;5;5;5;4;5;5;4;5;5;4;5;5;4;4;5;5;2;2;3;2;3;2;2;2;3;3;1;3
2;13;15;5;10;2;3;2;3;3;3;3;3;3;2;5;2;2;2;3;3;2;2;3;3;3;2;2;3;4;4;2;3;4;2;3;3;4;2;2;3;2;3;3;3;3;5;5;5;5;5;5;4;4;4;3;3;3;3;3;4;4;3;2;2;3;2;2;2;3;2;2;2;2;1
2;17;14;15;10;2;3;2;3;2;2;2;5;4;2;5;2;3;1;5;5;4;4;4;2;2;2;3;2;4;4;2;3;4;4;2;3;4;2;3;3;2;4;3;2;4;4;5;5;5;4;5;5;1;1;3;3;3;2;2;5;5;4;1;2;4;1;3;2;2;2;2;3;3;1
2;23;15;13;12;2;2;1;1;1;1;4;4;4;2;5;4;4;5;2;4;4;4;5;2;1;3;2;3;3;4;3;3;3;2;3;2;2;3;2;2;3;2;2;3;2;3;3;4;5;2;5;5;3;2;1;2;1;5;2;4;4;4;2;2;3;2;3;2;3;2;2;3;3;1
1;14;15;11;13;1;3;1;1;2;2;2;5;4;2;1;4;2;1;2;4;5;4;5;1;2;2;3;3;4;3;3;3;3;4;2;3;2;3;2;3;2;4;3;3;3;2;3;5;5;3;5;5;2;2;1;3;2;1;2;5;3;1;1;2;3;1;3;3;2;3;2;2;2;3
3;13;16;11;11;2;3;3;2;2;2;3;2;3;2;3;2;3;3;5;3;2;4;5;2;1;1;3;4;3;3;2;2;4;3;2;3;3;2;1;4;2;3;3;2;4;5;4;5;4;2;3;4;2;1;1;2;2;1;1;1;3;3;2;2;3;1;3;2;2;3;3;3;1;1
3;4;12;7;4;3;2;5;5;2;3;4;5;2;3;5;2;2;5;3;2;4;1;3;3;2;3;2;3;1;3;1;1;2;3;3;1;3;2;1;2;3;4;3;1;4;1;5;4;3;3;4;3;2;1;3;4;2;3;1;4;2;1;1;3;3;2;2;2;3;2;1;2;1;2
3;10;12;11;7;2;2;1;2;3;3;3;3;2;3;5;2;2;2;3;3;4;2;5;2;2;2;3;3;3;3;2;2;3;3;2;2;3;2;2;3;2;2;1;2;2;3;4;3;5;3;3;4;3;3;2;3;2;2;2;3;3;2;1;2;4;2;3;2;2;3;4;4;3;1
1;9;9;11;14;2;2;4;2;2;2;1;2;1;1;4;2;2;2;4;4;2;4;2;4;2;2;4;4;4;3;1;1;4;2;2;3;4;1;3;3;2;3;4;1;3;4;5;5;4;4;5;4;3;4;2;4;5;5;5;5;3;4;1;1;3;1;3;1;1;3;4;4;1;3
1;11;9;13;10;3;2;3;4;5;2;4;1;1;2;3;4;4;5;2;5;1;4;1;5;1;2;4;3;4;4;1;2;4;4;3;4;3;3;1;4;2;4;4;2;4;5;2;2;2;3;1;3;2;5;2;3;5;5;5;3;2;2;2;1;3;2;3;1;1;3;4;3;1;3
1;6;15;13;11;2;2;4;2;2;2;1;1;2;2;4;2;2;2;4;4;3;4;5;2;2;1;3;4;4;4;1;2;4;3;1;4;3;1;3;4;2;4;4;1;4;5;5;5;5;4;5;5;4;5;5;4;5;4;4;5;5;4;1;2;4;2;3;2;2;4;4;4;1;2
2;6;10;13;4;3;2;2;3;3;2;3;3;3;3;3;3;2;3;2;3;3;2;3;2;2;2;3;2;4;4;1;1;4;4;1;4;3;1;1;3;1;4;4;1;4;2;4;3;2;4;5;4;5;5;5;4;5;4;5;5;4;3;1;4;2;2;4;1;1;3;4;4;1;3
2;7;11;11;9;2;2;1;2;1;1;1;1;4;2;4;2;2;1;2;3;1;3;5;1;2;1;3;3;4;4;2;3;4;3;2;3;4;2;3;4;2;3;3;2;4;5;5;5;5;5;5;5;4;4;4;5;4;4;3;5;5;2;1;2;4;2;4;2;2;3;4;4;1;1
