"B7" "B8" "B9" "B12" "B13" "B14" "B15" "B16" "B18A" "B18B" "B18C" "B18D" "B18E" "B18F" "B19A" "B19B" "B20"
"1" 34.1 "No" 56.1 "never" "no" "never" 102 "never" 35 19.2 13 18.3 27.6 53.8 55.4 11.8 49.8
"2" 47.2 "No" 7.8 "never" "yes" "never" 103.8 "never" 58.4 18.4 6.1 6 3.9 51 8 64.8 75.5
"3" 71.3 "No" 17 "sometimes" "no" "sometimes" 42.8 "never" 37.5 10.9 12.2 12.6 14.2 44.7 51.8 50.9 84.1
"4" 78.2 "Yes" 26.4 "never" "no" "never" 72.7 "I don't like" 43.2 36.8 10 5.5 26.5 38 47 79.9 52.5
"5" 41.7 "No" 64.7 "sometimes" "no" "never" 56.9 "I don't like" 20.5 7 8.2 9.4 9.7 33.1 24.6 32.1 81.6
"6" 18.6 "Yes" 59.7 "sometimes" "no" "sometimes" 109.5 "sometimes" 46.7 34.9 2.2 43 35.6 82.7 107.8 57.2 75.5
"7" 52.6 "Yes" 54.3 "never" "no" "sometimes" 56.3 "I don't like" 40.1 27.9 26.6 11.7 10.3 53.5 52.8 85.6 51.9
"8" 17.1 "Yes" 24.7 "never" "no" "I don't like" 48.4 "I don't like" 46.3 47.6 46.1 61 23.2 51.5 30.6 52.9 53.2
"9" 63.7 "Yes" 75.2 "never" "no" "never" 54.5 "sometimes" 42.7 32.6 73.9 34.8 35.9 53.7 70.1 70.1 83.5
"10" 37 NA 16.2 "never" "yes" "never" 66.2 "sometimes" 11.2 53.3 10.1 52.4 53.3 37.4 13.4 92.2 75.6
"11" 13.3 "No" 38.6 "sometimes" "no" "never" 59.6 "sometimes" 97.3 12.1 32.6 6.8 30.4 78.8 57.1 56.4 73.5
"12" 24.6 "No" 41 "regularly" "yes" "sometimes" 106.2 "never" 16.6 42.4 23.2 22.1 23 39.9 69.9 69.5 101.3
"13" 54.9 "No" 23.4 "sometimes" "yes" "never" 64.7 "never" 40.6 20.3 17.8 21.2 5.6 89.3 53.1 59.2 49.5
"14" 30.7 "Yes" 47.3 "never" "yes" "never" 0.8 "sometimes" 38.6 22.7 76.7 2.4 17.3 91.9 94.9 48.7 52.1
"15" 83.2 "No" 83.1 "sometimes" "yes" "regularly" 59.3 "regularly" 35.2 36.2 36.7 19.7 26.8 32 28.7 49.5 105.5
"16" 33.3 "No" 7.7 "sometimes" "no" "sometimes" 52.6 "never" 92.7 3.8 5.6 3.8 3.4 49.2 103.6 64.6 99.7
"17" 54.7 "Yes" 19.4 "never" "no" "sometimes" 78.2 "never" 52.4 29.9 30.2 2.5 3.2 56.4 54.8 107.7 109.8
"18" 79.5 "No" 20 "regularly" "no" "never" 81.3 "never" 56.5 26 2.9 3 3 84.5 3.3 90.8 92.1
"19" 38.7 "Yes" 18.2 "never" "no" "never" 13.3 "sometimes" 22.8 23.1 42.6 0 0 19.5 0 51.1 112.2
"20" 45.4 "No" 75.1 "never" "no" "never" 38.7 "I don't like" 27.1 48.9 5.9 14.1 20 38.8 53.9 75.4 83.1
"21" 28.4 "Yes" 66.8 "sometimes" "no" "never" 52.3 "I don't like" 30.3 35.7 24 31.1 32.5 40.2 47.8 29.6 72.2
"22" 75.2 "No" 57 "never" "no" "never" 27.9 NA 31.7 55.6 31 31.8 31.8 32.5 19.8 87.8 89.5
"23" 86.3 "Yes" 108.5 "never" "no" "sometimes" 59.8 "never" 3.7 52.7 2.4 3.7 1.9 109.6 83.2 105.2 52.3
"24" 50.7 "No" 41.3 "regularly" "yes" "regularly" 86 "never" 72 28.2 38.7 2 1.8 90.9 92.7 92.1 54.8
"25" 22.9 "Yes" 16.5 "sometimes" "yes" "sometimes" 57.7 "I don't like" 16 1.9 39.2 3.3 2.2 38.8 NA 57.1 70
"26" 59.1 "Yes" 13.9 "regularly" "yes" "sometimes" 42.7 "never" 36.5 19 14.5 23.5 18.3 28.7 54.8 80 61.9
"27" 85.9 "No" 5.7 "regularly" "yes" "sometimes" 104 "never" 47.2 33.9 46.7 11.5 10 72.8 52 52.4 52
"28" 38.9 "Yes" 11 "sometimes" "yes" "never" 59.3 "never" 54.4 42.9 16.1 27.8 4.4 69.3 31.4 74.3 89.2
"29" 55.2 "No" 7.7 "never" "no" "never" 59.1 "sometimes" 16.3 56.9 41.1 7.7 6.2 17.6 88.4 96 99.2
"30" 52 "No" 53.9 "sometimes" "no" "sometimes" 66.2 "I don't like" 56.2 6 12.1 2.8 4.6 25.9 32.6 53.7 73.3
"31" 17.6 "Yes" 26.5 "never" "no" "sometimes" 61.1 "sometimes" 0 22.7 0 0 0 8.8 112 13.4 112
"32" 77.5 "No" 83.3 "never" "yes" "never" 22.5 "never" 15.5 24.5 35 1.6 16.3 88.5 83.1 27.5 111.3
