"Species" "Area" "Mean" "StdDev" "Mode" "Perim" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "Skew" "Kurt"
"1" "Baetisrhodani" 30813 108.062 35.348 91 3188.481 380 503 240.329 163.244 102.383 0.038 503.894 3329713 106 0.037 -1.072
"2" "Baetisrhodani" 30600 89.787 42.97 45 2779.385 506 317 317.257 122.806 154.586 0.05 530.094 2747497 83 0.203 -0.977
"3" "Baetisrhodani" 30551 121.612 25.214 126 2378.466 370 427 343.341 113.295 56.251 0.068 543.485 3715375 121 -0.255 0.067
"4" "Baetisrhodani" 29713 130.549 21.358 132 2904.73 294 547 328.457 115.18 100.817 0.044 547.878 3878995 132 -0.457 0.047
"5" "Baetisrhodani" 28546 109.422 33.507 77 2918.446 454 383 312.788 116.2 140.696 0.042 526.423 3123552 106 0.039 -0.82
"6" "Baetisrhodani" 21492 121.487 24.221 118 1929.464 231 359 279.692 97.838 88.394 0.073 359.173 2610996 120 -0.155 0.052
"7" "Baetisrhodani" 20924 98.978 39.156 101 2045.707 367 309 238.806 111.56 165.628 0.063 415.471 2071019 98 -0.222 -0.387
"8" "Baetisrhodani" 20503 113.149 30.139 88 1233.533 332 286 308.47 84.628 142.283 0.169 412.535 2319893 112 0.045 -0.847
"9" "Baetisrhodani" 20287 117.19 27.997 112 1752.209 215 339 277.444 93.101 71.66 0.083 368.318 2377430 114 -0.003 -0.579
"10" "Baetisrhodani" 20066 113.628 31.881 109 2012.626 347 348 240.741 106.126 52.135 0.062 403.541 2280066 113 -0.318 -0.199
"11" "Baetisrhodani" 19940 113.022 32.045 111 2028.151 395 298 234.268 108.373 4.75 0.061 408.976 2253653 113 -0.258 -0.401
"12" "Baetisrhodani" 19889 96.219 38.653 73 1783.44 342 197 263.242 96.198 20.234 0.079 350.782 1913695 89 0.186 -0.898
"13" "Baetisrhodani" 19621 98.308 40.69 50 1645.651 446 216 322.642 77.43 20.814 0.091 479.541 1928908 94 0.173 -1.263
"14" "Baetisrhodani" 19460 85.308 46.486 35 1578.344 425 286 322.96 76.719 30.162 0.098 478.299 1660101 78 0.234 -1.205
"15" "Baetisrhodani" 19344 115.237 31.362 117 1917.097 372 283 244.163 100.873 174.782 0.066 398.919 2229140 116 -0.332 -0.259
"16" "Baetisrhodani" 19050 100.38 39.11 63 1624.32 249 460 326.152 74.368 113.067 0.091 492.878 1912234 95 0.18 -1.25
"17" "Baetisrhodani" 18959 120.159 24.183 119 1795.031 151 470 313.781 76.931 95.391 0.074 472.149 2278099 120 -0.148 -0.026
"18" "Baetisrhodani" 18685 96.915 40.994 62 1572.93 225 244 170.568 139.478 44.21 0.095 296.522 1810853 92 0.158 -1.183
"19" "Baetisrhodani" 18472 104.869 38.839 73 1354.077 233 317 167.93 140.054 99.362 0.127 318.512 1937139 100 0.109 -1.291
"20" "Baetisrhodani" 18431 102.447 38.203 67 2039.028 414 250 243.899 96.216 150.854 0.056 425.441 1888200 100 -0.077 -0.81
"21" "Baetisrhodani" 18311 113.051 28.053 112 1900.712 141 464 297.707 78.313 85.414 0.064 479.517 2070068 112 0.011 -0.417
"22" "Baetisrhodani" 17962 103.648 34.456 85 1647.097 251 453 305.192 74.936 60.223 0.083 485.268 1861717 102 -0.006 -0.709
"23" "Baetisrhodani" 17931 117.223 29.403 113 1582.788 273 230 190.337 119.947 118.224 0.09 286.84 2101923 115 -0.125 -0.633
"24" "Baetisrhodani" 17641 115.45 31.01 103 2121.069 359 285 241.986 92.82 24.662 0.049 424.053 2036659 113 -0.071 -0.828
"25" "Baetisrhodani" 17537 116.679 26.51 112 1648.812 395 198 285.872 78.108 25.712 0.081 414.006 2046203 114 0.102 -0.622
